Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
64,0.75,0.77045455,0.73738184,0.04536067,0.128146421
66,0.75,0.762661636,0.751472652,0.037668705,0.108354812
68,0.75,0.777341294,0.712688899,0.02043593,0.072808923
70,0.75,0.775171447,0.715360069,0.047356082,0.119536438
72,0.75,0.780480993,0.695858622,0.026065493,0.075527262
74,0.75,0.779119325,0.701502872,0.035352686,0.085600467
76,0.75,0.777169871,0.708181608,0.022439049,0.076156759
78,0.75,0.785119522,0.685844576,0.038514372,0.108572607
80,0.75,0.790522134,0.667294455,0.059245158,0.150959116
82,0.75,0.784908891,0.684432924,0.063336736,0.175107147
84,0.75,0.785682786,0.688008356,0.014635855,0.051033116
86,0.75,0.795106769,0.650033271,0.031156761,0.090921563
88,0.75,0.792270768,0.664811885,0.048333599,0.142407444
90,0.75,0.801724136,0.637550414,0.035110826,0.111979826
92,0.75,0.804452372,0.626149297,0.027981129,0.085571563
94,0.75,0.798535478,0.646157181,0.033287656,0.104553645
96,0.75,0.810310543,0.609635723,0.027177292,0.081834966
98,0.75,0.807484329,0.616896141,0.048696877,0.136259553
100,0.75,0.80033797,0.631857526,0.016983391,0.05192875
0,1,0.101400863,2.535257292,0.022854475,0.185423685
2,1,0.133914575,2.324196196,0.017139485,0.070902014
4,1,0.187764502,2.256398773,0.027734747,0.06892145
6,1,0.129795259,2.259499454,0.018713304,0.074113716
8,1,0.272879109,2.174952936,0.028825736,0.119666636
10,1,0.298075038,2.140540123,0.03580643,0.118566936
12,1,0.344548398,2.07574358,0.021404766,0.17406171
14,1,0.400176334,2.011448789,0.024380473,0.189016544
16,1,0.503898907,1.923776221,0.037846647,0.042434877
18,1,0.459943187,1.85144918,0.01587341,0.040044652
20,1,0.552791929,1.740679812,0.075884876,0.048997021
22,1,0.574245679,1.645376539,0.01985479,0.06091879
24,1,0.60039674,1.554588699,0.071916796,0.053737062
26,1,0.628080916,1.442669749,0.02487105,0.064952056
28,1,0.613303292,1.389942074,0.075632745,0.046379804
30,1,0.637725306,1.318746471,0.018589535,0.050191605
32,1,0.657611668,1.23094027,0.023174133,0.060700459
