,Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
22,44,0.5,0.644097769,1.114585114,0.025838884,0.059265041
23,46,0.5,0.610526073,1.157777333,0.032540731,0.070947835
24,48,0.5,0.684208465,0.997089577,0.038374114,0.087444613
25,50,0.5,0.66841203,1.015629482,0.090477916,0.03598363
26,52,0.5,0.658160269,1.041983056,0.025731921,0.059991289
27,54,0.5,0.673011374,1.012066686,0.025072402,0.078535351
28,56,0.5,0.678002548,0.982221305,0.016714223,0.038559675
29,58,0.5,0.685129309,0.977318561,0.016986173,0.053152573
30,60,0.5,0.646914196,1.080075777,0.017010128,0.038479884
31,62,0.5,0.685530961,0.969247103,0.057271917,0.017280958
32,64,0.5,0.703237653,0.925408876,0.079713829,0.036005507
33,66,0.5,0.670444751,1.020359111,0.087756542,0.042353904
34,68,0.5,0.650470221,1.090192401,0.029473694,0.087723448
35,70,0.5,0.680383039,1.007277846,0.0302845,0.110248374
36,72,0.5,0.674030173,1.01135788,0.023340634,0.089327612
37,74,0.5,0.645003927,1.108738053,0.01835765,0.051070156
38,76,0.5,0.664855993,1.054789543,0.020843184,0.081447154
39,78,0.5,0.701851487,0.923802423,0.035416078,0.0238621
40,80,0.5,0.678761756,1.023801923,0.032324671,0.018211069
41,82,0.5,0.640463352,1.152776694,0.030217022,0.09910699
42,84,0.5,0.671796632,1.056212533,0.023836065,0.089112422
43,86,0.5,0.680476105,0.996093476,0.025061335,0.08316261
44,88,0.5,0.670665157,1.055674803,0.096164384,0.067051447
45,90,0.5,0.656034482,1.124122703,0.034363572,0.111628228
46,92,0.5,0.648383629,1.130462599,0.033795595,0.104021571
47,94,0.5,0.664816821,1.078521597,0.028513465,0.094365188
48,96,0.5,0.646850502,1.150334787,0.01696938,0.080806594
49,98,0.5,0.662299168,1.075109172,0.054130671,0.032581372
50,100,0.5,0.664189839,1.08217535,0.079590164,0.0466751
0,0,0.75,0.102542123,2.70360527,0.021665563,0.148800449
1,2,0.75,0.116785856,2.355722094,0.065038608,0.0802596
2,4,0.75,0.157778214,2.284096384,0.025585571,0.028381167
3,6,0.75,0.119974527,2.274528503,0.08811204,0.095362508
4,8,0.75,0.201733938,2.202958393,0.029243239,0.08272389
5,10,0.75,0.27157132,2.135725546,0.038892635,0.09453393
6,12,0.75,0.252644983,2.095920992,0.065871844,0.021705869
7,14,0.75,0.31772629,2.01607213,0.051168211,0.026367631
8,16,0.75,0.376263714,1.925175023,0.025537511,0.038127134
9,18,0.75,0.376836783,1.858249402,0.057824884,0.018755107
10,20,0.75,0.416536051,1.76900835,0.05330244,0.058227184
11,22,0.75,0.453663796,1.672311687,0.054240343,0.05613059
12,24,0.75,0.453066224,1.62583282,0.050087839,0.069873164
13,26,0.75,0.493554074,1.526534605,0.034652138,0.032683151
14,28,0.75,0.541927886,1.452649617,0.048901408,0.087240317
15,30,0.75,0.482347172,1.49194665,0.032058188,0.064878495
16,32,0.75,0.501787812,1.463705873,0.035518118,0.086451524
17,34,0.75,0.560947311,1.34884491,0.020349478,0.057746899
18,36,0.75,0.490174359,1.430083728,0.042787813,0.070825877
19,38,0.75,0.492055255,1.516139007,0.047349197,0.126552777
20,40,0.75,0.466913205,1.596453118,0.034850365,0.09271431
21,42,0.75,0.515105784,1.461004639,0.025720342,0.085300913
22,44,0.75,0.444166344,1.714868236,0.028003403,0.139249887
23,46,0.75,0.43617751,1.69349854,0.063630805,0.036056695
24,48,0.75,0.408170062,1.911839366,0.023935255,0.073734988
25,50,0.75,0.401253921,2.056296444,0.052981928,0.023917731
26,52,0.75,0.422051334,1.918911409,0.029289032,0.147825426
27,54,0.75,0.376890671,2.104277229,0.047783412,0.023101875
28,56,0.75,0.346287227,2.170039535,0.017971111,0.01696944
29,58,0.75,0.407489222,1.934317446,0.039390598,0.156413938
30,60,0.75,0.405167508,1.960110116,0.025903045,0.091650383
31,62,0.75,0.352169871,2.12335031,0.037074649,0.069942574
32,64,0.75,0.367941815,2.118446064,0.037132691,0.140459965
33,66,0.75,0.366070735,2.063837814,0.040652302,0.084067944
34,68,0.75,0.357489222,2.218846965,0.033078025,0.103071398
35,70,0.75,0.320733738,2.300216436,0.025759186,0.11080143
36,72,0.75,0.302096397,2.339194298,0.037408446,0.108199304
37,74,0.75,0.307503918,2.261352777,0.032141273,0.15957699
38,76,0.75,0.311270571,2.223121262,0.025713833,0.113641538
39,78,0.75,0.296546829,2.258688998,0.023550446,0.102683027
40,80,0.75,0.252365792,2.252450585,0.042744309,0.14410051
41,82,0.75,0.273403209,2.235108542,0.034860802,0.139026369
42,84,0.75,0.257420653,2.203395081,0.033904167,0.122129373
43,86,0.75,0.241722178,2.331199121,0.046024594,0.021855915
44,88,0.75,0.27206113,2.185374522,0.04287624,0.12763665
45,90,0.75,0.286799574,2.19258008,0.021798373,0.077407341
46,92,0.75,0.263004503,2.176173019,0.039027526,0.115362793
47,94,0.75,0.251033503,2.185081005,0.041724534,0.106088897
48,96,0.75,0.260305643,2.168073726,0.034674674,0.077246274
49,98,0.75,0.273697099,2.077107668,0.033273033,0.098680771
50,100,0.75,0.266114807,2.085869288,0.033590898,0.067048006
0,0,1,0.09536638,2.629559803,0.028650933,0.070073074
1,2,1,0.106759405,2.388399935,0.031106643,0.063270884
2,4,1,0.120327196,2.297911453,0.075132959,0.022762768
3,6,1,0.144817787,2.312394762,0.079521573,0.039860694
4,8,1,0.188499217,2.231416035,0.045360989,0.021616173
5,10,1,0.204565047,2.216631746,0.037124631,0.039737969
6,12,1,0.237813482,2.137284803,0.054194275,0.045758053
7,14,1,0.315380096,2.026474857,0.05759957,0.037572619
8,16,1,0.306156936,1.988715744,0.040458999,0.055337194
9,18,1,0.326875976,1.928913736,0.039941265,0.061907425
10,20,1,0.365507448,1.82783885,0.022737167,0.037052618
11,22,1,0.346590903,1.866831279,0.047641121,0.0878516
12,24,1,0.321762338,1.889794707,0.050120619,0.121395766
13,26,1,0.281632057,2.109910703,0.050962956,0.016903746
14,28,1,0.329462186,1.960689282,0.043472293,0.097518214
15,30,1,0.335070533,1.971489334,0.022352924,0.068117899
16,32,1,0.332861483,2.215984201,0.035328883,0.019222931
17,34,1,0.241937697,2.189100523,0.029085779,0.031048236
18,36,1,0.240198869,2.210130854,0.029194605,0.022583858
19,38,1,0.203644198,2.160271645,0.022360012,0.021464694
20,40,1,0.233718652,2.103267717,0.018835196,0.128669003
21,42,1,0.224402431,2.222833118,0.018285175,0.046934339
22,44,1,0.188944945,2.310623932,0.018526403,0.105349672
23,46,1,0.151141262,2.504423237,0.091385405,0.068317291
24,48,1,0.154594433,2.617353487,0.065092617,0.07606918
25,50,1,0.143000588,2.260412121,0.025523829,0.038823419
26,52,1,0.139086987,2.359461069,0.02058456,0.052911807
27,54,1,0.125303686,2.402259598,0.01814594,0.033325957
28,56,1,0.137010187,2.449898767,0.025295126,0.04504416
29,58,1,0.11294083,2.347954702,0.038487167,0.153320763
30,60,1,0.129423,2.47291317,0.020146624,0.020588631
31,62,1,0.127610697,2.433486128,0.029213382,0.022806043
32,64,1,0.126596786,2.45880723,0.032541798,0.153647873
33,66,1,0.122198276,2.498842764,0.017038195,0.094841376
34,68,1,0.125186129,2.475183582,0.026374187,0.066852521
35,70,1,0.121870103,2.486891031,0.021656685,0.12138014
36,72,1,0.130652429,2.40753932,0.033246213,0.112215934
37,74,1,0.133703957,2.390659714,0.036051835,0.078654001
38,76,1,0.119038989,2.430787277,0.086939872,0.069258916
39,78,1,0.126489028,2.373038101,0.028302858,0.089159527
40,80,1,0.137113047,2.36685462,0.042640734,0.055230839
41,82,1,0.123701997,2.348587513,0.02878898,0.084250726
42,84,1,0.120772924,2.337997198,0.025656667,0.076541013
43,86,1,0.133003527,2.327550697,0.042798531,0.093598983
44,88,1,0.137465712,2.356824818,0.046740325,0.092452862
45,90,1,0.137338361,2.396829748,0.042178938,0.085913236
46,92,1,0.135761166,2.467582726,0.048757445,0.118714966
47,94,1,0.138166146,2.457232733,0.045313721,0.088280451
48,96,1,0.137607758,2.474247236,0.049279372,0.12181894
49,98,1,0.129085033,2.456888275,0.037686972,0.088982254
50,100,1,0.140737653,2.434221988,0.04346488,0.104750436
