Round,NoiseMultiplier,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss,,,,,,,,,,
76,0.5,0.105167517,375297.6889,0.050777824,265856.9854,,,,,,,,,,
78,0.5,0.107053292,491772.1651,0.064679855,300069.0838,,,,,,,,,,
80,0.5,0.104770769,1208744.047,0.036463593,754322.3698,,,,,,,,,,
82,0.5,0.101944555,3230434.274,0.030715729,2132147.957,,,,,,,,,,
84,0.5,0.096394984,5011049.245,0.049568052,3294051.27,,,,,,,,,,
86,0.5,0.098942009,5729483.556,0.038279072,3816007.582,,,,,,,,,,
88,0.5,0.099872647,7577304.186,0.015166771,4985635.741,,,,,,,,,,
90,0.5,0.086025667,9223419.822,0.077588503,5730801.538,,,,,,,,,,
92,0.5,0.082690047,13596479.84,0.05861247,8341227.162,,,,,,,,,,
94,0.5,0.095038204,17882914.14,0.038996168,10014934.49,,,,,,,,,,
96,0.5,0.111716302,27260793.12,0.041557653,15716549.26,,,,,,,,,,
98,0.5,0.10473648,53341955.69,0.059122164,33507198.43,,,,,,,,,,
100,0.5,0.107342282,77051715.37,0.054053297,47187061.02,,,,,,,,,,
0,0.75,0.096914186,2.643300629,0.032198196,0.086392631,,,,,,,,,,
2,0.75,0.110565241,2.384140921,0.034356105,0.033772558,,,,,,,,,,
4,0.75,0.130054858,2.4904212,0.012090411,0.063436322,,,,,,,,,,
6,0.75,0.090047023,3.687091255,0.036047466,0.187972658,,,,,,,,,,
8,0.75,0.103428683,5.492374039,0.083167638,0.670854417,,,,,,,,,,
10,0.75,0.100166537,8.898611355,0.047302817,0.723281927,,,,,,,,,,
12,0.75,0.097119907,14.43270979,0.033720888,1.429422483,,,,,,,,,,
14,0.75,0.093970416,18.51233273,0.010613668,2.27283889,,,,,,,,,,
16,0.75,0.094357365,38.84286995,0.016592268,7.260837166,,,,,,,,,,
18,0.75,0.095826802,56.74707794,0.077442439,7.9638967,,,,,,,,,,
20,0.75,0.117187497,91.58091736,0.012633702,12.45343912,,,,,,,,,,
