Column1,Column2,Column3,AVG_accuracy,AVG_loss,interval_accuracy,interval_loss
36,72,0.63,0.767652822,0.724015737,0.078250859,0.198030255
37,74,0.63,0.782224703,0.691847885,0.041480718,0.114166424
38,76,0.63,0.778227854,0.703447413,0.101565685,0.24845018
39,78,0.63,0.763352275,0.731037378,0.117254172,0.282705057
40,80,0.63,0.779952002,0.695600796,0.053942727,0.146778268
41,82,0.63,0.769528794,0.72095052,0.159842853,0.433614401
42,84,0.63,0.790811133,0.66915499,0.058798229,0.175835669
43,86,0.63,0.787083662,0.675801837,0.055969438,0.160220543
44,88,0.63,0.784644389,0.68798424,0.08400903,0.24599974
45,90,0.63,0.796507657,0.650970292,0.092119576,0.272999612
46,92,0.63,0.805143034,0.626268959,0.023540421,0.080734311
47,94,0.63,0.799711001,0.638643146,0.022580434,0.068329135
48,96,0.63,0.801596797,0.636412764,0.044539589,0.126641197
49,98,0.63,0.801655567,0.631725621,0.036026684,0.08838032
50,100,0.63,0.806132436,0.620283306,0.054996988,0.150738399
0,0,0.69,0.10456015,2.622556925,0.052481814,0.533853801
1,2,0.69,0.105559365,2.334681892,0.038291927,0.069306362
2,4,0.69,0.147668496,2.286207104,0.209616876,0.102241847
3,6,0.69,0.163940047,2.260055733,0.152039757,0.04600238
4,8,0.69,0.293465906,2.185086107,0.172093225,0.117324466
5,10,0.69,0.26611971,2.140616512,0.218705865,0.061299432
6,12,0.69,0.339488637,2.08525157,0.359668517,0.126270109
7,14,0.69,0.397501963,2.007467532,0.128079358,0.140270798
8,16,0.69,0.451141256,1.930690813,0.272952964,0.133010063
9,18,0.69,0.541242158,1.847084951,0.062331747,0.15320745
10,20,0.69,0.515840524,1.759682012,0.162832606,0.154685589
11,22,0.69,0.567956495,1.657782364,0.174703167,0.15814385
12,24,0.69,0.619479823,1.561990547,0.125833262,0.166228409
13,26,0.69,0.631916153,1.464457226,0.081085512,0.172143271
14,28,0.69,0.631093252,1.379684591,0.06977939,0.147782217
15,30,0.69,0.669587576,1.295192122,0.067484071,0.112290589
16,32,0.69,0.671742749,1.235085893,0.152951954,0.253570434
17,34,0.69,0.64689461,1.214914584,0.146201714,0.253628747
18,36,0.69,0.706362665,1.102517867,0.075498354,0.223621445
19,38,0.69,0.659041941,1.122472286,0.216854517,0.356644474
20,40,0.69,0.712073851,1.004137766,0.073618652,0.156422896
21,42,0.69,0.713989031,0.976915622,0.062333134,0.133611838
22,44,0.69,0.710423207,0.959833276,0.100483006,0.199607034
23,46,0.69,0.73085326,0.901184464,0.057908431,0.130208644
24,48,0.69,0.718108356,0.911970425,0.062268262,0.142591331
25,50,0.69,0.749368143,0.824817824,0.040736317,0.08976585
26,52,0.69,0.736799574,0.845107329,0.050293572,0.150860827
27,54,0.69,0.749691427,0.806386137,0.035738173,0.058705402
28,56,0.69,0.750646555,0.799959791,0.05050478,0.183187421
29,58,0.69,0.760766077,0.7656178,0.046238267,0.103681212
30,60,0.69,0.770621085,0.737633431,0.019429811,0.038333803
31,62,0.69,0.759419084,0.768687522,0.064126008,0.185292957
32,64,0.69,0.762534297,0.75612433,0.039255189,0.084579421
33,66,0.69,0.776606584,0.713498628,0.05208023,0.147614882
34,68,0.69,0.767829168,0.736048377,0.047194511,0.104124899
35,70,0.69,0.781857359,0.694207597,0.02056794,0.075124716
36,72,0.69,0.779403412,0.699978483,0.018345008,0.053523928
37,74,0.69,0.779849148,0.69584198,0.037234308,0.082331516
38,76,0.69,0.777429461,0.706600714,0.070248295,0.218683664
39,78,0.69,0.782102263,0.694367683,0.025460583,0.069800118
40,80,0.69,0.79667418,0.651111221,0.037168135,0.08195497
41,82,0.69,0.783512938,0.69349438,0.048505404,0.147526605
42,84,0.69,0.796796632,0.649362504,0.034049461,0.096650345
43,86,0.69,0.799407327,0.636763215,0.041441861,0.108992348
44,88,0.69,0.792412806,0.661915886,0.054758047,0.184270137
45,90,0.69,0.795297813,0.656542647,0.037866817,0.121716631
46,92,0.69,0.80386461,0.627848148,0.03797201,0.100349958
47,94,0.69,0.808145583,0.618500483,0.027735481,0.100687718
48,96,0.69,0.806641853,0.626257229,0.038300241,0.120680393
49,98,0.69,0.803898895,0.630695581,0.036955591,0.072824722
50,100,0.69,0.810217464,0.60794065,0.035824974,0.094098832
0,0,0.77,0.105187108,2.564100313,0.045903675,0.592742639
1,2,0.77,0.112725313,2.331944084,0.070829536,0.119164272
2,4,0.77,0.159046827,2.277723789,0.198476327,0.152348565
3,6,0.77,0.195528021,2.253818846,0.149628939,0.082431575
4,8,0.77,0.259708074,2.188463545,0.139602042,0.086103139
5,10,0.77,0.276293099,2.144284058,0.106184243,0.073807057
6,12,0.77,0.347820336,2.085056305,0.36205023,0.123541708
7,14,0.77,0.461373436,2.010427642,0.135640987,0.143178466
8,16,0.77,0.464733535,1.93912015,0.292053056,0.187343244
