Column1,Column2,Column3,Column4,Column5,Column6
200,41,0.70286379,0.74927938,0.138992925,0.059808012
200,42,0.686304372,0.752446094,0.106990753,0.052479438
200,43,0.69331775,0.753917888,0.161626833,0.019837036
200,44,0.67370858,0.759284122,0.189435343,0.05171606
200,45,0.68115938,0.767770152,0.14697987,0.05385231
200,46,0.67426229,0.750263016,0.142385634,0.104772331
200,47,0.68990142,0.746693792,0.181733697,0.049229232
200,48,0.67013655,0.769934848,0.152330521,0.061476806
200,49,0.6705351,0.76201513,0.169715082,0.035201544
200,50,0.70405082,0.74902,0.120574564,0.09029606
200,51,0.65662986,0.772833508,0.189047966,0.025722192
200,52,0.646340926,0.763595288,0.129573266,0.045807087
200,53,0.664040278,0.764325002,0.105033449,0.051561823
200,54,0.660682546,0.778198576,0.231620228,0.077091531
200,55,0.68408448,0.757706692,0.222354486,0.040218701
200,56,0.674603486,0.768206428,0.155123899,0.049779439
200,57,0.670738384,0.765096608,0.122317767,0.067161632
200,58,0.665721604,0.756880472,0.228890079,0.132443022
200,59,0.668691214,0.754360162,0.187594341,0.102985172
200,60,0.69625706,0.755688238,0.103533046,0.019351304
200,61,0.683340782,0.76140382,0.07316773,0.025244098
200,62,0.633714808,0.78589479,0.093034058,0.075213239
200,63,0.6818759,0.760838556,0.152653669,0.035931823
200,64,0.679799878,0.768645692,0.141623884,0.077355624
200,65,0.69233388,0.753221848,0.071190984,0.045272865
200,66,0.668092108,0.75851658,0.084030642,0.041751517
200,67,0.694139014,0.76583028,0.211117702,0.089258045
200,68,0.695149574,0.75430259,0.199653939,0.083672938
200,69,0.678787972,0.762740586,0.167100545,0.061407233
200,70,0.635468624,0.775329088,0.086153348,0.070195154
200,71,0.696794066,0.752463018,0.174844013,0.057973194
200,72,0.70365091,0.75201795,0.099001756,0.03944893
200,73,0.672421268,0.748416146,0.092665913,0.044124353
200,74,0.6584681,0.752299058,0.086251505,0.027016748
200,75,0.69728453,0.768774474,0.24780325,0.094366376
200,76,0.692891412,0.759444146,0.094755889,0.056400172
200,77,0.703896252,0.749822892,0.16728569,0.048415956
200,78,0.68703616,0.757609304,0.14697296,0.053793644
200,79,0.684245442,0.752575172,0.163560436,0.018803398
200,80,0.680387514,0.762200194,0.234435907,0.111547145
200,81,0.71951698,0.758141264,0.158923674,0.049346028
200,82,0.675884956,0.76673693,0.081987441,0.040426166
200,83,0.681416066,0.755158578,0.142677967,0.070045205
200,84,0.690914418,0.762732076,0.198208072,0.091614365
200,85,0.66262265,0.758397132,0.087994612,0.073426926
200,86,0.684992772,0.760940828,0.090371598,0.028912877
200,87,0.693941728,0.764850718,0.114078092,0.057752398
200,88,0.688548106,0.74637128,0.16667815,0.060501011
200,89,0.670350542,0.763669538,0.234184335,0.077521966
200,90,0.678975454,0.773619064,0.159082868,0.05989819
200,91,0.684645696,0.762223322,0.103747629,0.065656657
200,92,0.727256282,0.741772292,0.209500465,0.047991492
200,93,0.71217592,0.74794426,0.178590843,0.130677972
200,94,0.71451925,0.75809,0.215566346,0.082910477
200,95,0.691912628,0.757797478,0.121646369,0.052635115
200,96,0.70046819,0.75414036,0.121542597,0.036823963
200,97,0.68478872,0.764749444,0.135633484,0.022657324
200,98,0.697434812,0.762842882,0.150768888,0.038445578
200,99,0.673711974,0.753200288,0.129354286,0.092716406
500,0,10.9527872,0,1.339834489,0
500,1,11.0050063,0,1.438749179,0
500,2,10.6734625,0,1.433113673,0
500,3,10.004973,0,1.064490656,0
500,4,8.1727548,0.01025641,1.362657575,0.011518028
500,5,5.0059272,0.10734805,1.673021651,0.090562521
500,6,2.65886104,0.229340162,1.188935776,0.072683354
500,7,1.5618615,0.327786594,0.616639487,0.077327092
500,8,1.06505298,0.433135032,0.177347838,0.078884952
500,9,0.945907068,0.478778526,0.137117947,0.059512032
500,10,0.8649278,0.526506016,0.160507597,0.051853581
500,11,0.784849306,0.574476072,0.207298668,0.048280331
500,12,0.76733772,0.596390338,0.121058257,0.099797909
500,13,0.744406378,0.63763278,0.061135872,0.042356873
500,14,0.725582382,0.654478746,0.162900818,0.057269834
500,15,0.750296896,0.646704684,0.15693551,0.071367476
500,16,0.696711046,0.69212647,0.107399813,0.083611473
500,17,0.71079015,0.68097166,0.17846153,0.057710504
500,18,0.701718806,0.698901768,0.090019434,0.063488213
500,19,0.721414218,0.69465371,0.153508182,0.064571099
500,20,0.7172739,0.71376532,0.107769892,0.040661328
500,21,0.709273764,0.69299443,0.144681935,0.048533305
500,22,0.7022967,0.7157174,0.054866635,0.044996936
500,23,0.691290574,0.720777286,0.146367098,0.071425198
500,24,0.681619482,0.734045916,0.083917927,0.054497564
500,25,0.674611254,0.722574496,0.179594799,0.04455973
500,26,0.709321894,0.725728608,0.198819176,0.096055475
500,27,0.67601315,0.719590194,0.15575519,0.081327114
500,28,0.697070574,0.727865786,0.084427262,0.046012637
500,29,0.719909712,0.732016042,0.120504297,0.050590197
500,30,0.674638686,0.75106382,0.077136831,0.050086672
500,31,0.691934514,0.744477448,0.168679636,0.051086766
500,32,0.70669964,0.72882741,0.20233454,0.064559743
500,33,0.700401302,0.716172842,0.106835549,0.074376414
500,34,0.704729996,0.740998214,0.091919247,0.046716052
500,35,0.690968026,0.74141415,0.057472544,0.039203469
500,36,0.68179073,0.735398766,0.056524894,0.062447239
500,37,0.657543706,0.734964402,0.139235544,0.040185678
500,38,0.680440094,0.740024942,0.15315714,0.031573329
500,39,0.710883958,0.7506224,0.14110858,0.061255661
500,40,0.682326922,0.748117674,0.130305954,0.051072548
500,41,0.712031944,0.72162161,0.143134594,0.078668691
500,42,0.702066896,0.74425927,0.111113884,0.054705883
500,43,0.693531282,0.744363204,0.129346365,0.050987648
500,44,0.693216712,0.746520122,0.113032348,0.067737862
