Column1,Column2,Column3,AVG_acc,AVG_loss,interval_acc,interval_loss
21,42,50,0.01068,4.605145454,0.002618252,5.13E-05
22,44,50,0.01066,4.605143833,0.002827685,5.38E-05
23,46,50,0.0106,4.605141544,0.002544614,5.38E-05
24,48,50,0.01054,4.605139446,0.002480781,5.71E-05
25,50,50,0.01054,4.605137634,0.002268129,5.68E-05
26,52,50,0.01064,4.605135822,0.002597753,5.88E-05
27,54,50,0.0106,4.605134201,0.002894131,6.10E-05
28,56,50,0.01068,4.605132008,0.002898234,6.18E-05
29,58,50,0.01082,4.605129719,0.003190906,6.34E-05
30,60,50,0.01088,4.605127716,0.003634762,6.37E-05
31,62,50,0.01098,4.605125618,0.003970626,6.65E-05
32,64,50,0.01096,4.605123997,0.004169133,6.57E-05
33,66,50,0.01122,4.605122089,0.005195504,6.84E-05
34,68,50,0.0114,4.605120468,0.005525736,6.98E-05
35,70,50,0.01146,4.605118752,0.005739823,7.25E-05
36,72,50,0.01132,4.605116844,0.005500955,7.27E-05
37,74,50,0.0114,4.605114841,0.005741892,7.15E-05
38,76,50,0.01162,4.605113506,0.005977097,7.22E-05
39,78,50,0.01174,4.605111885,0.006497124,7.43E-05
40,80,50,0.01166,4.605109882,0.006259632,7.63E-05
41,82,50,0.01162,4.605107975,0.005780045,7.81E-05
42,84,50,0.0117,4.605106354,0.005767699,7.91E-05
43,86,50,0.01174,4.605104256,0.006183246,8.14E-05
44,88,50,0.01172,4.605101967,0.006114654,8.09E-05
45,90,50,0.0118,4.605100536,0.006793897,8.23E-05
46,92,50,0.01174,4.605098629,0.006601432,8.40E-05
47,94,50,0.0118,4.605097294,0.006763226,8.61E-05
48,96,50,0.0118,4.605095482,0.006828784,8.73E-05
49,98,50,0.0119,4.605094242,0.006824433,8.95E-05
50,100,50,0.01192,4.60509243,0.00676059,9.08E-05
0,0,70,0.0113,4.605162144,0.0036883,3.48E-05
1,2,70,0.01132,4.605161572,0.003560457,3.54E-05
2,4,70,0.01134,4.60516119,0.003126969,3.48E-05
3,6,70,0.01132,4.605160236,0.003209468,3.37E-05
4,8,70,0.01142,4.605158806,0.003833614,3.37E-05
5,10,70,0.01146,4.605157852,0.004111744,3.41E-05
6,12,70,0.01156,4.60515604,0.004147704,3.41E-05
7,14,70,0.01154,4.605154705,0.004544106,3.41E-05
8,16,70,0.0116,4.605152893,0.005531108,3.49E-05
9,18,70,0.01152,4.605151176,0.006296535,3.46E-05
10,20,70,0.0115,4.605149078,0.006517208,3.43E-05
11,22,70,0.01154,4.605147457,0.006848763,3.44E-05
12,24,70,0.01158,4.605145073,0.006951214,3.40E-05
13,26,70,0.01172,4.605143166,0.007293183,3.27E-05
14,28,70,0.01182,4.605141258,0.007207151,3.30E-05
15,30,70,0.01192,4.605138874,0.006899748,3.47E-05
16,32,70,0.01198,4.605137062,0.006873871,3.51E-05
17,34,70,0.01194,4.605135059,0.006809619,3.54E-05
18,36,70,0.01186,4.605133057,0.006981911,3.55E-05
19,38,70,0.0119,4.605130482,0.006630167,3.48E-05
20,40,70,0.01192,4.605128384,0.00614373,3.69E-05
21,42,70,0.0121,4.605126858,0.005547195,4.01E-05
22,44,70,0.01218,4.605124569,0.005280562,3.94E-05
23,46,70,0.01218,4.605122089,0.004913438,4.02E-05
24,48,70,0.01222,4.605119514,0.004716029,4.08E-05
25,50,70,0.01218,4.605117321,0.004652622,4.22E-05
26,52,70,0.01226,4.6051157,0.005045853,4.30E-05
27,54,70,0.01232,4.60511322,0.004575372,4.53E-05
28,56,70,0.01234,4.605111504,0.004154859,4.65E-05
29,58,70,0.0123,4.605109787,0.004114632,4.77E-05
30,60,70,0.01222,4.605107307,0.00420319,4.68E-05
31,62,70,0.0122,4.605105877,0.004249573,4.64E-05
32,64,70,0.01224,4.605103683,0.004531014,4.99E-05
33,66,70,0.0123,4.605102062,0.004605138,5.10E-05
34,68,70,0.01218,4.605100536,0.00479101,5.01E-05
35,70,70,0.01218,4.605099678,0.004985451,5.08E-05
36,72,70,0.01204,4.605097675,0.005247836,5.27E-05
37,74,70,0.01206,4.605095291,0.005337627,5.31E-05
38,76,70,0.01208,4.605093288,0.005314204,5.42E-05
39,78,70,0.01216,4.605091858,0.00473614,5.41E-05
40,80,70,0.01212,4.605090141,0.00445699,5.47E-05
41,82,70,0.01204,4.605089188,0.004384426,5.42E-05
42,84,70,0.01188,4.605087185,0.003993005,5.53E-05
43,86,70,0.01184,4.605084991,0.0038429,5.75E-05
44,88,70,0.0119,4.605083275,0.004207428,5.89E-05
45,90,70,0.01196,4.605082035,0.004511306,6.08E-05
46,92,70,0.01198,4.605080605,0.00398556,6.13E-05
47,94,70,0.01198,4.605079365,0.004103066,6.12E-05
48,96,70,0.01188,4.605078125,0.004389843,6.37E-05
49,98,70,0.01198,4.605076408,0.003940591,6.54E-05
50,100,70,0.01196,4.605074787,0.004053542,6.47E-05
0,0,100,0.00934,4.605187798,0.005624827,4.79E-05
1,2,100,0.00932,4.605187416,0.005712851,4.88E-05
2,4,100,0.0094,4.605186939,0.005874848,4.87E-05
3,6,100,0.0094,4.605186081,0.005874848,4.86E-05
4,8,100,0.00944,4.60518465,0.00552896,4.76E-05
5,10,100,0.00944,4.605183125,0.005796466,4.74E-05
6,12,100,0.00946,4.605181408,0.005791339,4.77E-05
7,14,100,0.00948,4.605179787,0.005856619,4.90E-05
